projectID	Simulation ID	Treatment ID	Soil ID	Weather station ID	weather_file	Leaf area index	Plant available water content	Irrigation amount	Surface organic residue, dry mass	Total above ground dry mass	Mulch thickness 
text	text	text	text	text	text	m²/m²	-	mm	kg[C]/ha	kg[DM]/ha	mm
ProjectID	SM	TREAT_ID	SOIL_ID	WST_ID	WST_DATASET	LAID	AWC	IRVAL	LC0D	CWAD	MLTHK
FRLUL0AW0.50	SICL_FRLU_L0AW0.50	L0AW0.50	SICL	FRLU	FRLUL0AW0.50	0	0.50	0	0	0	0
FRLUL0AW0.50	SILO_FRLU_L0AW0.50	L0AW0.50	SILO	FRLU	FRLUL0AW0.50	0	0.50	0	0	0	0
FRLUL0AW0.50	SALO_FRLU_L0AW0.50	L0AW0.50	SALO	FRLU	FRLUL0AW0.50	0	0.50	0	0	0	0
FRLUL0AW0.50	SAND_FRLU_L0AW0.50	L0AW0.50	SAND	FRLU	FRLUL0AW0.50	0	0.50	0	0	0	0
USMAL0AW0.50	SICL_USMA_L0AW0.50	L0AW0.50	SICL	USMA	USMAL0AW0.50	0	0.50	0	0	0	0
USMAL0AW0.50	SILO_USMA_L0AW0.50	L0AW0.50	SILO	USMA	USMAL0AW0.50	0	0.50	0	0	0	0
USMAL0AW0.50	SALO_USMA_L0AW0.50	L0AW0.50	SALO	USMA	USMAL0AW0.50	0	0.50	0	0	0	0
USMAL0AW0.50	SAND_USMA_L0AW0.50	L0AW0.50	SAND	USMA	USMAL0AW0.50	0	0.50	0	0	0	0
FRMOL0AW0.50	SICL_FRMO_L0AW0.50	L0AW0.50	SICL	FRMO	FRMOL0AW0.50	0	0.50	0	0	0	0
FRMOL0AW0.50	SILO_FRMO_L0AW0.50	L0AW0.50	SILO	FRMO	FRMOL0AW0.50	0	0.50	0	0	0	0
FRMOL0AW0.50	SALO_FRMO_L0AW0.50	L0AW0.50	SALO	FRMO	FRMOL0AW0.50	0	0.50	0	0	0	0
FRMOL0AW0.50	SAND_FRMO_L0AW0.50	L0AW0.50	SAND	FRMO	FRMOL0AW0.50	0	0.50	0	0	0	0
CAQCL0AW0.50	SICL_CAQC_L0AW0.50	L0AW0.50	SICL	CAQC	CAQCL0AW0.50	0	0.50	0	0	0	0
CAQCL0AW0.50	SILO_CAQC_L0AW0.50	L0AW0.50	SILO	CAQC	CAQCL0AW0.50	0	0.50	0	0	0	0
CAQCL0AW0.50	SALO_CAQC_L0AW0.50	L0AW0.50	SALO	CAQC	CAQCL0AW0.50	0	0.50	0	0	0	0
CAQCL0AW0.50	SAND_CAQC_L0AW0.50	L0AW0.50	SAND	CAQC	CAQCL0AW0.50	0	0.50	0	0	0	0
USGAL0AW0.75	SICL_USGA_L0AW0.75	L0AW0.75	SICL	USGA	USGAL0AW0.75	0	0.75	0	0	0	0
USGAL0AW0.75	SILO_USGA_L0AW0.75	L0AW0.75	SILO	USGA	USGAL0AW0.75	0	0.75	0	0	0	0
USGAL0AW0.75	SALO_USGA_L0AW0.75	L0AW0.75	SALO	USGA	USGAL0AW0.75	0	0.75	0	0	0	0
USGAL0AW0.75	SAND_USGA_L0AW0.75	L0AW0.75	SAND	USGA	USGAL0AW0.75	0	0.75	0	0	0	0
DEMUL0AW0.75	SICL_DEMU_L0AW0.75	L0AW0.75	SICL	DEMU	DEMUL0AW0.75	0	0.75	0	0	0	0
